fighter_name,espn_url
Renato Moicano,https://www.espn.com/mma/fighter/_/id/3028863/renato-moicano
Chris Duncan,https://www.espn.com/mma/fighter/_/id/4867356/chris-duncan
Virna Jandiroba,https://www.espn.com/mma/fighter/_/id/4289516/virna-jandiroba
Tabatha Ricci,https://www.espn.com/mma/fighter/_/id/4868095/tabatha-ricci
Abdul Rakhman Yakhyaev,https://www.espn.com/mma/fighter/_/id/5291025/abdul-rakhman-yakhyaev
Brendson Ribeiro,https://www.espn.com/mma/fighter/_/id/4379328/brendson-ribeiro
Rafael Estevam,https://www.espn.com/mma/fighter/_/id/5076593/rafael-estevam
Ethyn Ewing,https://www.espn.com/mma/fighter/_/id/4917037/ethyn-ewing
Tommy McMillen,https://www.espn.com/mma/fighter/_/id/5212849/tommy-mcmillen
Manolo Zecchini,https://www.espn.com/mma/fighter/_/id/5157247/manolo-zecchini
Robert Ruchała,https://www.espn.com/mma/fighter/_/id/5100571/robert-rucha%C5%82a
José Delano,https://www.espn.com/mma/fighter/_/id/4969974/jose-delano
Thomas Petersen,https://www.espn.com/mma/fighter/_/id/4869702/thomas-petersen
Guilherme Pat,https://www.espn.com/mma/fighter/_/id/5282610/guilherme-pat
Alessandro Costa,https://www.espn.com/mma/fighter/_/id/5074121/alessandro-costa
Stewart Nicoll,https://www.espn.com/mma/fighter/_/id/5218177/stewart-nicoll
Lando Vannata,https://www.espn.com/mma/fighter/_/id/3949555/lando-vannata
Darrius Flowers,https://www.espn.com/mma/fighter/_/id/4358252/darrius-flowers
Hailey Cowan,https://www.espn.com/mma/fighter/_/id/4374742/hailey-cowan
Alice Pereira,https://www.espn.com/mma/fighter/_/id/5261515/alice-pereira
Azamat Bekoev,https://www.espn.com/mma/fighter/_/id/5123963/azamat-bekoev
Tresean Gore,https://www.espn.com/mma/fighter/_/id/4815999/tresean-gore
Dione Barbosa,https://www.espn.com/mma/fighter/_/id/4801725/dione-barbosa
Melissa Gatto,https://www.espn.com/mma/fighter/_/id/4420893/melissa-gatto
