fighter_name,espn_url
Israel Adesanya,https://www.espn.com/mma/fighter/_/id/4285679/israel-adesanya
Joe Pyfer,https://www.espn.com/mma/fighter/_/id/4684135/joe-pyfer
Alexa Grasso,https://www.espn.com/mma/fighter/_/id/3136287/alexa-grasso
Maycee Barber,https://www.espn.com/mma/fighter/_/id/4246307/maycee-barber
Michael Chiesa,https://www.espn.com/mma/fighter/_/id/2960681/michael-chiesa
Niko Price,https://www.espn.com/mma/fighter/_/id/4077451/niko-price
Julian Erosa,https://www.espn.com/mma/fighter/_/id/3955577/julian-erosa
Lerryan Douglas,https://www.espn.com/mma/fighter/_/id/4958170/lerryan-douglas
Mansur Abdul-Malik,https://www.espn.com/mma/fighter/_/id/5211221/mansur-abdul-malik
Yousri Belgaroui,https://www.espn.com/mma/fighter/_/id/5149815/yousri-belgaroui
Terrance McKinney,https://www.espn.com/mma/fighter/_/id/4425604/terrance-mckinney
Kyle Nelson,https://www.espn.com/mma/fighter/_/id/4408436/kyle-nelson
Ignacio Bahamondes,https://www.espn.com/mma/fighter/_/id/4038116/ignacio-bahamondes
Tofiq Musayev,https://www.espn.com/mma/fighter/_/id/4423264/tofiq-musayev
Chase Hooper,https://www.espn.com/mma/fighter/_/id/4354421/chase-hooper
Lance Gibson Jr.,https://www.espn.com/mma/fighter/_/id/4687537/lance-gibson-jr
Marcin Tybura,https://www.espn.com/mma/fighter/_/id/3093559/marcin-tybura
Tyrell Fortune,https://www.espn.com/mma/fighter/_/id/4065006/tyrell-fortune
Casey O'Neill,https://www.espn.com/mma/fighter/_/id/4699589/casey-oneill
Gabriella Fernandes,https://www.espn.com/mma/fighter/_/id/4871203/gabriella-fernandes
Navajo Stirling,https://www.espn.com/mma/fighter/_/id/5216713/navajo-stirling
Bruno Lopes,https://www.espn.com/mma/fighter/_/id/4691323/bruno-lopes
Ricky Simon,https://www.espn.com/mma/fighter/_/id/3922491/ricky-simon
Adrian Yanez,https://www.espn.com/mma/fighter/_/id/3998248/adrian-yanez
Alexia Thainara,https://www.espn.com/mma/fighter/_/id/5075992/alexia-thainara
Bruna Brasil,https://www.espn.com/mma/fighter/_/id/4394200/bruna-brasil
