event_id,event_name,start_time,fighter_a,fighter_b,market,selection,book,american_odds
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Jiri Prochazka,Carlos Ulberg,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Jiri Prochazka,Carlos Ulberg,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Joshua Van,Tatsuro Taira,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Joshua Van,Tatsuro Taira,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Curtis Blaydes,Josh Hokit,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Curtis Blaydes,Josh Hokit,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Beneil Dariush,Manuel Torres,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Beneil Dariush,Manuel Torres,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Dominick Reyes,Johnny Walker,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Dominick Reyes,Johnny Walker,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Azamat Murzakanov,Paulo Costa,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Azamat Murzakanov,Paulo Costa,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Cub Swanson,Nate Landwehr,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Cub Swanson,Nate Landwehr,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Patricio Pitbull,Aaron Pico,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Patricio Pitbull,Aaron Pico,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Mateusz Gamrot,Esteban Ribovics,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Mateusz Gamrot,Esteban Ribovics,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Kevin Holland,Randy Brown,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Kevin Holland,Randy Brown,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Tatiana Suarez,Loopy Godinez,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Tatiana Suarez,Loopy Godinez,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Kelvin Gastelum,Vicente Luque,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Kelvin Gastelum,Vicente Luque,moneyline,fighter_b,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Christopher Alvidrez,Francisco Prado,moneyline,fighter_a,manual,
ufc-327-2026-04-11,UFC 327: Prochazka vs. Ulberg,2026-04-11T21:00:00-04:00,Christopher Alvidrez,Francisco Prado,moneyline,fighter_b,manual,
