fighter_name,short_notice_flag,short_notice_acceptance_flag,short_notice_success_flag,new_gym_flag,new_contract_flag,cardio_fade_flag,injury_concern_flag,weight_cut_concern_flag,replacement_fighter_flag,travel_disadvantage_flag,camp_change_flag,context_notes
Jiri Prochazka,0,0,0,0,0,0,0,0,0,0,0,
Carlos Ulberg,0,0,0,0,0,0,0,0,0,0,0,
Joshua Van,0,0,0,0,0,0,0,0,0,0,0,
Tatsuro Taira,0,0,0,0,0,0,0,0,0,0,0,
Curtis Blaydes,0,0,0,0,0,0,0,0,0,0,0,
Josh Hokit,0,0,0,0,0,0,0,0,0,0,0,
Beneil Dariush,0,0,0,0,0,0,0,0,0,0,0,
Manuel Torres,0,0,0,0,0,0,0,0,0,0,0,
Dominick Reyes,0,0,0,0,0,0,0,0,0,0,0,
Johnny Walker,0,0,0,0,0,0,0,0,0,0,0,
Azamat Murzakanov,0,0,0,0,0,0,0,0,0,0,0,
Paulo Costa,0,0,0,0,0,0,0,0,0,0,0,
Cub Swanson,0,0,0,0,0,0,0,0,0,0,0,
Nate Landwehr,0,0,0,0,0,0,0,0,0,0,0,
Patricio Pitbull,0,0,0,0,0,0,0,0,0,0,0,
Aaron Pico,0,0,0,0,0,0,0,0,0,0,0,
Mateusz Gamrot,0,0,0,0,0,0,0,0,0,0,0,
Esteban Ribovics,0,0,0,0,0,0,0,0,0,0,0,
Kevin Holland,0,0,0,0,0,0,0,0,0,0,0,
Randy Brown,0,0,0,0,0,0,0,0,0,0,0,
Tatiana Suarez,0,0,0,0,0,0,0,0,0,0,0,
Loopy Godinez,0,0,0,0,0,0,0,0,0,0,0,
Kelvin Gastelum,0,0,0,0,0,0,0,0,0,0,0,
Vicente Luque,0,0,0,0,0,0,0,0,0,0,0,
Christopher Alvidrez,0,0,0,0,0,0,0,0,0,0,0,
Francisco Prado,0,0,0,0,0,0,0,0,0,0,0,
