fighter_name,espn_url
Jiri Prochazka,https://www.espn.com/mma/fighter/_/id/3156612/jiri-prochazka
Carlos Ulberg,https://www.espn.com/mma/fighter/_/id/4695736/carlos-ulberg
Joshua Van,https://www.espn.com/mma/fighter/_/id/5120301/joshua-van
Tatsuro Taira,https://www.espn.com/mma/fighter/_/id/4917772/tatsuro-taira
Curtis Blaydes,https://www.espn.com/mma/fighter/_/id/3922557/curtis-blaydes
Josh Hokit,https://www.espn.com/mma/fighter/_/id/4049391/josh-hokit
Beneil Dariush,https://www.espn.com/mma/fighter/_/id/3085551/beneil-dariush
Manuel Torres,https://www.espn.com/mma/fighter/_/id/4896616/manuel-torres
Dominick Reyes,https://www.espn.com/mma/fighter/_/id/4233039/dominick-reyes
Johnny Walker,https://www.espn.com/mma/fighter/_/id/3146944/johnny-walker
Azamat Murzakanov,https://www.espn.com/mma/fighter/_/id/4227265/azamat-murzakanov
Paulo Costa,https://www.espn.com/mma/fighter/_/id/4080826/paulo-costa
Cub Swanson,https://www.espn.com/mma/fighter/_/id/2354087/cub-swanson
Nate Landwehr,https://www.espn.com/mma/fighter/_/id/3821549/nate-landwehr
Patricio Pitbull,https://www.espn.com/mma/fighter/_/id/2532870/patricio-pitbull
Aaron Pico,https://www.espn.com/mma/fighter/_/id/4199009/aaron-pico
Mateusz Gamrot,https://www.espn.com/mma/fighter/_/id/3068125/mateusz-gamrot
Esteban Ribovics,https://www.espn.com/mma/fighter/_/id/5074131/esteban-ribovics
Kevin Holland,https://www.espn.com/mma/fighter/_/id/3943695/kevin-holland
Randy Brown,https://www.espn.com/mma/fighter/_/id/3960071/randy-brown
Tatiana Suarez,https://www.espn.com/mma/fighter/_/id/4020435/tatiana-suarez
Loopy Godinez,https://www.espn.com/mma/fighter/_/id/4700617/loopy-godinez
Kelvin Gastelum,https://www.espn.com/mma/fighter/_/id/3026011/kelvin-gastelum
Vicente Luque,https://www.espn.com/mma/fighter/_/id/3045887/vicente-luque
Christopher Alvidrez,https://www.espn.com/mma/fighter/_/id/5310077/christopher-alvidrez
Francisco Prado,https://www.espn.com/mma/fighter/_/id/5123216/francisco-prado
