fighter_name,espn_url
Khamzat Chimaev,https://www.espn.com/mma/fighter/_/id/4684751/khamzat-chimaev
Sean Strickland,https://www.espn.com/mma/fighter/_/id/3093653/sean-strickland
Joshua Van,https://www.espn.com/mma/fighter/_/id/5120301/joshua-van
Tatsuro Taira,https://www.espn.com/mma/fighter/_/id/4917772/tatsuro-taira
Alexander Volkov,https://www.espn.com/mma/fighter/_/id/2993650/alexander-volkov
Waldo Cortes-Acosta,https://www.espn.com/mma/fighter/_/id/4903365/waldo-cortes-acosta
Sean Brady,https://www.espn.com/mma/fighter/_/id/4295192/sean-brady
Joaquin Buckley,https://www.espn.com/mma/fighter/_/id/4024714/joaquin-buckley
King Green,https://www.espn.com/mma/fighter/_/id/2502364/king-green
Jeremy Stephens,https://www.espn.com/mma/fighter/_/id/2335673/jeremy-stephens
Ateba Gautier,https://www.espn.com/mma/fighter/_/id/5218421/ateba-gautier
Ozzy Diaz,https://www.espn.com/mma/fighter/_/id/4944080/ozzy-diaz
Joel Alvarez,https://www.espn.com/mma/fighter/_/id/4411888/joel-alvarez
Yaroslav Amosov,https://www.espn.com/mma/fighter/_/id/4275020/yaroslav-amosov
Grant Dawson,https://www.espn.com/mma/fighter/_/id/3931156/grant-dawson
Mateusz Rebecki,https://www.espn.com/mma/fighter/_/id/4689965/mateusz-rebecki
Jim Miller,https://www.espn.com/mma/fighter/_/id/2335718/jim-miller
Jared Gordon,https://www.espn.com/mma/fighter/_/id/3894823/jared-gordon
Roman Kopylov,https://www.espn.com/mma/fighter/_/id/4300149/roman-kopylov
Marco Tulio,https://www.espn.com/mma/fighter/_/id/5138111/marco-tulio
Pat Sabatini,https://www.espn.com/mma/fighter/_/id/4085967/pat-sabatini
William Gomis,https://www.espn.com/mma/fighter/_/id/4324623/william-gomis
Clayton Carpenter,https://www.espn.com/mma/fighter/_/id/4904998/clayton-carpenter
Jose Ochoa,https://www.espn.com/mma/fighter/_/id/5213200/jose-ochoa
Baisangur Susurkaev,https://www.espn.com/mma/fighter/_/id/5296753/baisangur-susurkaev
Djorden Santos,https://www.espn.com/mma/fighter/_/id/5211247/djorden-santos
