fighter_name,espn_url
Arnold Allen,https://www.espn.com/mma/fighter/_/id/3902098/arnold-allen
Melquizael Costa,https://www.espn.com/mma/fighter/_/id/4425763/melquizael-costa
Dooho Choi,https://www.espn.com/mma/fighter/_/id/3093026/dooho-choi
Daniel Santos,https://www.espn.com/mma/fighter/_/id/4881997/daniel-santos
Malcolm Wellmaker,https://www.espn.com/mma/fighter/_/id/5212854/malcolm-wellmaker
Juan Diaz,https://www.espn.com/mma/fighter/_/id/5310574/juan-diaz
Modestas Bukauskas,https://www.espn.com/mma/fighter/_/id/4279621/modestas-bukauskas
Rodolfo Bellato,https://www.espn.com/mma/fighter/_/id/5060489/rodolfo-bellato
Timmy Cuamba,https://www.espn.com/mma/fighter/_/id/5123311/timmy-cuamba
Benardo Sopaj,https://www.espn.com/mma/fighter/_/id/5080883/bernardo-sopaj
Jeremiah Wells,https://www.espn.com/mma/fighter/_/id/3970873/jeremiah-wells
Nicolas Dalby,https://www.espn.com/mma/fighter/_/id/3026267/nicolas-dalby
Tuco Tokkos,https://www.espn.com/mma/fighter/_/id/4410698/tuco-tokkos
Ivan Erslan,https://www.espn.com/mma/fighter/_/id/4698417/ivan-erslan
Trey Ogden,https://www.espn.com/mma/fighter/_/id/4294378/trey-ogden
Thomas Gantt,https://www.espn.com/mma/fighter/_/id/5307814/thomas-gantt
Ketlen Vieira,https://www.espn.com/mma/fighter/_/id/4039865/ketlen-vieira
Jacqueline Cavalcanti,https://www.espn.com/mma/fighter/_/id/4916251/jacqueline-cavalcanti
Cody Brundage,https://www.espn.com/mma/fighter/_/id/4684474/cody-brundage
Andre Petroski,https://www.espn.com/mma/fighter/_/id/4697476/andre-petroski
Alice Ardelean,https://www.espn.com/mma/fighter/_/id/3977988/alice-ardelean
Polyana Viana,https://www.espn.com/mma/fighter/_/id/4227055/polyana-viana
Daniel Barez,https://www.espn.com/mma/fighter/_/id/4236496/daniel-barez
Luis Gurule,https://www.espn.com/mma/fighter/_/id/5218137/luis-gurule
Shauna Bannon,https://www.espn.com/mma/fighter/_/id/5102627/shauna-bannon
Nicolle Caliari,https://www.espn.com/mma/fighter/_/id/4239113/nicolle-caliari
