fighter_name,espn_url
Gilbert Burns,https://www.espn.com/mma/fighter/_/id/3090197/gilbert-burns
Mike Malott,https://www.espn.com/mma/fighter/_/id/3165120/mike-malott
Charles Jourdain,https://www.espn.com/mma/fighter/_/id/4421978/charles-jourdain
Kyler Phillips,https://www.espn.com/mma/fighter/_/id/4237015/kyler-phillips
Jasmine Jasudavicius,https://www.espn.com/mma/fighter/_/id/4835135/jasmine-jasudavicius
Karine Silva,https://www.espn.com/mma/fighter/_/id/3309918/
Mandel Nallo,https://www.espn.com/mma/fighter/_/id/4063786/mandel-nallo
Jai Herbert,https://www.espn.com/mma/fighter/_/id/4078246/jai-herbert
Thiago Moises,https://www.espn.com/mma/fighter/_/id/3955778/thiago-moises
Gauge Young,https://www.espn.com/mma/fighter/_/id/5085318/gauge-young
Dennis Buzukja,https://www.espn.com/mma/fighter/_/id/4686735/dennis-buzukja
Marcio Barbosa,https://www.espn.com/mma/fighter/_/id/5099679/marcio-barbosa
Julien Leblanc,https://www.espn.com/mma/fighter/_/id/4807973/julien-leblanc
Robert Valentin,https://www.espn.com/mma/fighter/_/id/4686237/robert-valentin
Tanner Boser,https://www.espn.com/mma/fighter/_/id/4232775/tanner-boser
Gokhan Saricam,https://www.espn.com/mma/fighter/_/id/4588192/gokhan-saricam
Melissa Croden,https://www.espn.com/mma/fighter/_/id/4947922/melissa-croden
Daria Zhelezniakova,https://www.espn.com/mma/fighter/_/id/4894780/daria-zhelezniakova
DongHun Choi,https://www.espn.com/mma/fighter/_/id/5207629/donghun-choi
Andre Lima,https://www.espn.com/mma/fighter/_/id/5157669/andre-lima
JJ Aldrich,https://www.espn.com/mma/fighter/_/id/3136289/jj-aldrich
Jamey-Lyn Horth,https://www.espn.com/mma/fighter/_/id/4689227/jamey-lyn-horth
Mitch Raposo,https://www.espn.com/mma/fighter/_/id/4815978/mitch-raposo
Allan Nascimento,https://www.espn.com/mma/fighter/_/id/3020408/allan-nascimento
John Castaneda,https://www.espn.com/mma/fighter/_/id/4063869/john-castaneda
Mark Vologdin,https://www.espn.com/mma/fighter/_/id/5310571/mark-vologdin
Jamie Siraj,https://www.espn.com/mma/fighter/_/id/4421489/jamie-siraj
John Yannis,https://www.espn.com/mma/fighter/_/id/5145575/john-yannis
