event_id,event_name,start_time,fighter_a,fighter_b,scheduled_rounds,is_title_fight,market,selection,book,american_odds,selection_name,odds_api_event_id,odds_source,snapshot_fallback_used,last_snapshot_time
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jack Della Maddalena,Carlos Prates,5.0,0,moneyline,fighter_a,fanduel,-110.0,Jack Della Maddalena,ae22ee2cfaa7d47bdfbf58c00e46a7d7,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jack Della Maddalena,Carlos Prates,5.0,0,moneyline,fighter_b,fanduel,-110.0,Carlos Prates,ae22ee2cfaa7d47bdfbf58c00e46a7d7,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jack Della Maddalena,Carlos Prates,5.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jack Della Maddalena,Carlos Prates,5.0,0,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision,manual,,Fight doesn't go to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jack Della Maddalena,Carlos Prates,5.0,0,inside_distance,fighter_a,manual,,Jack Della Maddalena,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jack Della Maddalena,Carlos Prates,5.0,0,inside_distance,fighter_b,manual,,Carlos Prates,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jack Della Maddalena,Carlos Prates,5.0,0,by_decision,fighter_a,manual,,Jack Della Maddalena,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jack Della Maddalena,Carlos Prates,5.0,0,by_decision,fighter_b,manual,,Carlos Prates,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Beneil Dariush,Quillan Salkilld,3.0,0,moneyline,fighter_a,fanduel,279.0,Beneil Dariush,5c7d9ec8f1e95d64bcead567c0946c1d,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Beneil Dariush,Quillan Salkilld,3.0,0,moneyline,fighter_b,fanduel,-350.0,Quillan Salkilld,5c7d9ec8f1e95d64bcead567c0946c1d,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Beneil Dariush,Quillan Salkilld,3.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Beneil Dariush,Quillan Salkilld,3.0,0,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision,manual,,Fight doesn't go to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Beneil Dariush,Quillan Salkilld,3.0,0,inside_distance,fighter_a,manual,,Beneil Dariush,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Beneil Dariush,Quillan Salkilld,3.0,0,inside_distance,fighter_b,manual,,Quillan Salkilld,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Beneil Dariush,Quillan Salkilld,3.0,0,by_decision,fighter_a,manual,,Beneil Dariush,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Beneil Dariush,Quillan Salkilld,3.0,0,by_decision,fighter_b,manual,,Quillan Salkilld,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tim Elliott,Steve Erceg,3.0,0,moneyline,fighter_a,manual,,Tim Elliott,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tim Elliott,Steve Erceg,3.0,0,moneyline,fighter_b,manual,,Steve Erceg,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tim Elliott,Steve Erceg,3.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tim Elliott,Steve Erceg,3.0,0,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision,manual,,Fight doesn't go to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tim Elliott,Steve Erceg,3.0,0,inside_distance,fighter_a,manual,,Tim Elliott,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tim Elliott,Steve Erceg,3.0,0,inside_distance,fighter_b,manual,,Steve Erceg,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tim Elliott,Steve Erceg,3.0,0,by_decision,fighter_a,manual,,Tim Elliott,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tim Elliott,Steve Erceg,3.0,0,by_decision,fighter_b,manual,,Steve Erceg,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,moneyline,fighter_a,fanduel,-114.0,Shamil Gaziev,5df097b38ef78a244dd9274d2ab025ce,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,moneyline,fighter_b,fanduel,-106.0,Brando Pericic,5df097b38ef78a244dd9274d2ab025ce,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
