fighter_name,espn_url
Jack Della Maddalena,https://www.espn.com/mma/fighter/_/id/4828707/jack-della-maddalena
Carlos Prates,https://www.espn.com/mma/fighter/_/id/4294832/carlos-prates
Beneil Dariush,https://www.espn.com/mma/fighter/_/id/3085551/beneil-dariush
Quillan Salkilld,https://www.espn.com/mma/fighter/_/id/5157667/quillan-salkilld
Tim Elliott,https://www.espn.com/mma/fighter/_/id/2614020/tim-elliott
Steve Erceg,https://www.espn.com/mma/fighter/_/id/4997217/steve-erceg
Shamil Gaziev,https://www.espn.com/mma/fighter/_/id/5145498/shamil-gaziev
Brando Pericic,https://www.espn.com/mma/fighter/_/id/5293988/brando-pericic
Tai Tuivasa,https://www.espn.com/mma/fighter/_/id/3722422/tai-tuivasa
Louie Sutherland,https://www.espn.com/mma/fighter/_/id/5080572/louie-sutherland
Cam Rowston,https://www.espn.com/mma/fighter/_/id/4694832/cam-rowston
Robert Bryczek,https://www.espn.com/mma/fighter/_/id/4341572/robert-bryczek
Junior Tafa,https://www.espn.com/mma/fighter/_/id/5122234/junior-tafa
Kevin Christian,https://www.espn.com/mma/fighter/_/id/5216849/kevin-christian
Jacob Malkoun,https://www.espn.com/mma/fighter/_/id/4687434/jacob-malkoun
Gerald Meerschaert,https://www.espn.com/mma/fighter/_/id/2553261/gerald-meerschaert
Colby Thicknesse,https://www.espn.com/mma/fighter/_/id/5264462/colby-thicknesse
Vince Morales,https://www.espn.com/mma/fighter/_/id/4349153/vince-morales
Ben Johnston,https://www.espn.com/mma/fighter/_/id/5344659/ben-johnston
Wes Schultz,https://www.espn.com/mma/fighter/_/id/5057023/wes-schultz
Jonathan Micallef,https://www.espn.com/mma/fighter/_/id/5236142/jonathan-micallef
Themba Gorimbo,https://www.espn.com/mma/fighter/_/id/4963269/themba-gorimbo
Dom Mar Fan,https://www.espn.com/mma/fighter/_/id/5157806/dom-mar-fan
Kody Steele,https://www.espn.com/mma/fighter/_/id/5212351/kody-steele
