fighter_name,short_notice_flag,short_notice_acceptance_flag,short_notice_success_flag,new_gym_flag,new_contract_flag,cardio_fade_flag,injury_concern_flag,weight_cut_concern_flag,replacement_fighter_flag,travel_disadvantage_flag,camp_change_flag,context_notes
Belal Muhammad,0,0,0,0,0,0,0,0,0,0,0,
Gabriel Bonfim,0,0,0,0,0,0,0,0,0,0,0,
Iwo Baraniewski,0,0,0,0,0,0,0,0,0,0,0,
Billy Elekana,0,0,0,0,0,0,0,0,0,0,0,
Imanol Rodriguez,0,0,0,0,0,0,0,0,0,0,0,
Matt Schnell,0,0,0,0,0,0,0,0,0,0,0,
Bruno Silva,0,0,0,0,0,0,0,0,0,0,0,
Edgar Chairez,0,0,0,0,0,0,0,0,0,0,0,
Jeisla Chaves,0,0,0,0,0,0,0,0,0,0,0,
Yuneisy Duben,0,0,0,0,0,0,0,0,0,0,0,
