fighter_name,short_notice_flag,short_notice_acceptance_flag,short_notice_success_flag,new_gym_flag,new_contract_flag,cardio_fade_flag,injury_concern_flag,weight_cut_concern_flag,replacement_fighter_flag,travel_disadvantage_flag,camp_change_flag,news_alert_count,news_radar_score,news_radar_label,news_radar_summary,context_notes
Aljamain Sterling,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Youssef Zalal,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Norma Dumont,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Joselyne Edwards,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Rafa Garcia,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Alexander Hernandez,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Davey Grant,0,0,0,1,0,0,0,0,0,0,1,1.0,0.4192,green,camp watch: Davey Grant Says His New Coaching Role At Syndicate MMA Has Been “An Absolute Godsend” - MyMMANews (MyMMANews 2026-04-16),camp watch: Davey Grant Says His New Coaching Role At Syndicate MMA Has Been “An Absolute Godsend” - MyMMANews (MyMMANews 2026-04-16)
Juan Martinetti,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Montel Jackson,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Raoni Barcelos,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Marcus Buchecha,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Ryan Spann,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Rodolfo Vieira,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Eric McConico,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Jackson McVey,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Sedriques Dumas,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Mayra Bueno Silva,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Michelle Montague,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Jafel Filho,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Lucas Rocha,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Talita Alencar,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Julia Polastri,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Max Griffin,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
Victor Valenzuela,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
