fighter_name,espn_url
Aljamain Sterling,https://www.espn.com/mma/fighter/_/id/3031559/aljamain-sterling
Youssef Zalal,https://www.espn.com/mma/fighter/_/id/4351319/youssef-zalal
Norma Dumont,https://www.espn.com/mma/fighter/_/id/4418784/norma-dumont
Joselyne Edwards,https://www.espn.com/mma/fighter/_/id/4397782/joselyne-edwards
Rafa Garcia,https://www.espn.com/mma/fighter/_/id/4690549/rafa-garcia
Alexander Hernandez,https://www.espn.com/mma/fighter/_/id/4018757/alexander-hernandez
Davey Grant,https://www.espn.com/mma/fighter/_/id/3070984/davey-grant
Juan Martinetti,https://www.espn.com/mma/fighter/_/id/5310570/adrian-luna-martinetti
Montel Jackson,https://www.espn.com/mma/fighter/_/id/4339130/montel-jackson
Raoni Barcelos,https://www.espn.com/mma/fighter/_/id/3075570/raoni-barcelos
Marcus Buchecha,https://www.espn.com/mma/fighter/_/id/4711604/marcus-buchecha
Ryan Spann,https://www.espn.com/mma/fighter/_/id/3887606/ryan-spann
Rodolfo Vieira,https://www.espn.com/mma/fighter/_/id/4426250/rodolfo-vieira
Eric McConico,https://www.espn.com/mma/fighter/_/id/2478987/eric-mcconico
Jackson McVey,https://www.espn.com/mma/fighter/_/id/5291733/jackson-mcvey
Sedriques Dumas,https://www.espn.com/mma/fighter/_/id/5060467/sedriques-dumas
Mayra Bueno Silva,https://www.espn.com/mma/fighter/_/id/4371001/mayra-bueno-silva
Michelle Montague,https://www.espn.com/mma/fighter/_/id/4916259/michelle-montague
Jafel Filho,https://www.espn.com/mma/fighter/_/id/3896934/jafel-filho
Lucas Rocha,https://www.espn.com/mma/fighter/_/id/5146278/lucas-rocha
Talita Alencar,https://www.espn.com/mma/fighter/_/id/5139556/talita-alencar
Julia Polastri,https://www.espn.com/mma/fighter/_/id/4686723/julia-polastri
Max Griffin,https://www.espn.com/mma/fighter/_/id/3040385/max-griffin
Victor Valenzuela,https://www.espn.com/mma/fighter/_/id/5310564/victor-valenzuela
