fighter_name,short_notice_flag,short_notice_acceptance_flag,short_notice_success_flag,new_gym_flag,new_contract_flag,cardio_fade_flag,injury_concern_flag,weight_cut_concern_flag,replacement_fighter_flag,travel_disadvantage_flag,camp_change_flag,context_notes
Ilia Topuria,0,0,0,0,0,0,0,0,0,0,0,
Justin Gaethje,0,0,0,0,0,0,0,0,0,0,0,
Alex Pereira,0,0,0,0,0,0,0,0,0,0,0,
Ciryl Gane,0,0,0,0,0,0,0,0,0,0,0,
Sean O'Malley,0,0,0,0,0,0,0,0,0,0,0,
Aiemann Zahabi,0,0,0,0,0,0,0,0,0,0,0,
Mauricio Ruffy,0,0,0,0,0,0,0,0,0,0,0,
Michael Chandler,0,0,0,0,0,0,0,0,0,0,0,
Bo Nickal,0,0,0,0,0,0,0,0,0,0,0,
Kyle Daukaus,0,0,0,0,0,0,0,0,0,0,0,
Diego Lopes,0,0,0,0,0,0,0,0,0,0,0,
Steve Garcia,0,0,0,0,0,0,0,0,0,0,0,
Josh Hokit,0,0,0,0,0,0,0,0,0,0,0,
Derrick Lewis,0,0,0,0,0,0,0,0,0,0,0,
