fighter_name,espn_url
Movsar Evloev,https://www.espn.com/mma/fighter/_/id/4029275/movsar-evloev
Lerone Murphy,https://www.espn.com/mma/fighter/_/id/4576101/lerone-murphy
Luke Riley,https://www.espn.com/mma/fighter/_/id/5146696/luke-riley
Michael Aswell Jr.,https://www.espn.com/mma/fighter/_/id/5212738/michael-aswell
Michael Page,https://www.espn.com/mma/fighter/_/id/3022067/michael-page
Sam Patterson,https://www.espn.com/mma/fighter/_/id/5088916/sam-patterson
Iwo Baraniewski,https://www.espn.com/mma/fighter/_/id/5307810/iwo-baraniewski
Austen Lane,https://www.espn.com/mma/fighter/_/id/2223033/austen-lane
Roman Dolidze,https://www.espn.com/mma/fighter/_/id/4411508/roman-dolidze
Christian Leroy Duncan,https://www.espn.com/mma/fighter/_/id/4848674/christian-leroy-duncan
Kurtis Campbell,https://www.espn.com/mma/fighter/_/id/5310075/kurtis-campbell
Danny Silva,https://www.espn.com/mma/fighter/_/id/4702589/danny-silva
Mason Jones,https://www.espn.com/mma/fighter/_/id/4419470/mason-jones
Axel Sola,https://www.espn.com/mma/fighter/_/id/5245078/axel-sola
Nathaniel Wood,https://www.espn.com/mma/fighter/_/id/3950354/nathaniel-wood
Losene Keita,https://www.espn.com/mma/fighter/_/id/5192314/losene-keita
Mario Pinto,https://www.espn.com/mma/fighter/_/id/5218817/mario-pinto
Felipe Franco,https://www.espn.com/mma/fighter/_/id/5292014/felipe-franco
Antonio Trócoli,https://www.espn.com/mma/fighter/_/id/3955820/antonio-trocoli
Mantas Kondratavičius,https://www.espn.com/mma/fighter/_/id/5264925/mantas-kondratavicius
Louie Sutherland,https://www.espn.com/mma/fighter/_/id/5080572/louie-sutherland
Brando Peričić,https://www.espn.com/mma/fighter/_/id/5293988/brando-pericic
Shem Rock,https://www.espn.com/mma/fighter/_/id/4913882/shem-rock
Abdul-Kareem Al-Selwady,https://www.espn.com/mma/fighter/_/id/4695485/abdul-kareem-al-selwady
Shanelle Dyer,https://www.espn.com/mma/fighter/_/id/5157674/shanelle-dyer
Ravena Oliveira,https://www.espn.com/mma/fighter/_/id/5159959/ravena-oliveira
Melissa Mullins,https://www.espn.com/mma/fighter/_/id/5127984/melissa-mullins
Luana Carolina,https://www.espn.com/mma/fighter/_/id/4372194/luana-carolina
